git_hash=280a4d3,max_arr_sz=12500000000
n,duration_ns
2125000002,814000.000000
2250000002,756000.000000
2375000002,809000.000000
2500000002,808000.000000
2625000002,774000.000000
2750000002,708000.000000
2875000002,660000.000000
3000000002,782000.000000
3125000002,895000.000000
3250000002,836000.000000
3375000002,879000.000000
3500000002,641000.000000
3625000002,673000.000000
3750000002,827000.000000
3875000002,696000.000000
4000000002,702000.000000
4125000002,601000.000000
4250000002,736000.000000
4375000002,736000.000000
4500000002,673000.000000
4625000002,716000.000000
4750000002,707000.000000
4875000002,732000.000000
5000000002,762000.000000
5125000002,618000.000000
5250000002,736000.000000
5375000002,691000.000000
5500000002,801000.000000
5625000002,816000.000000
5750000002,611000.000000
5875000002,696000.000000
6000000002,609000.000000
6125000002,646000.000000
6250000002,753000.000000
6375000002,739000.000000
6500000002,755000.000000
6625000002,833000.000000
6750000002,851000.000000
6875000002,699000.000000
7000000002,748000.000000
7125000002,718000.000000
7250000002,870000.000000
7375000002,692000.000000
7500000002,489000.000000
7625000002,651000.000000
7750000002,778000.000000
7875000002,802000.000000
8000000002,705000.000000
8125000002,738000.000000
8250000002,663000.000000
8375000002,669000.000000
8500000002,822000.000000
8625000002,694000.000000
8750000002,742000.000000
8875000002,675000.000000
9000000002,779000.000000
9125000002,882000.000000
9250000002,647000.000000
9375000002,751000.000000
9500000002,721000.000000
9625000002,963000.000000
9750000002,804000.000000
9875000002,683000.000000
10000000002,758000.000000
10125000002,761000.000000
10250000002,758000.000000
10375000002,765000.000000
10500000002,664000.000000
10625000002,757000.000000
10750000002,1044000.000000
10875000002,788000.000000
11000000002,805000.000000
11125000002,695000.000000
11250000002,770000.000000
11375000002,865000.000000
11500000002,609000.000000
11625000002,769000.000000
11750000002,726000.000000
11875000002,824000.000000
12000000002,822000.000000
12125000002,716000.000000
12250000002,798000.000000
12375000002,682000.000000
2,594000.000000
125000002,769000.000000
250000002,815000.000000
375000002,670000.000000
500000002,776000.000000
625000002,817000.000000
750000002,697000.000000
875000002,830000.000000
1000000002,671000.000000
1125000002,766000.000000
1250000002,664000.000000
1375000002,717000.000000
1500000002,807000.000000
1625000002,753000.000000
1750000002,772000.000000
1875000002,794000.000000
2000000002,755000.000000
2125000002,917000.000000
2250000002,812000.000000
2375000002,749000.000000
2500000002,820000.000000
2625000002,729000.000000
2750000002,781000.000000
2875000002,841000.000000
3000000002,741000.000000
3125000002,809000.000000
3250000002,668000.000000
3375000002,752000.000000
3500000002,673000.000000
3625000002,701000.000000
3750000002,852000.000000
3875000002,707000.000000
4000000002,760000.000000
4125000002,692000.000000
4250000002,734000.000000
4375000002,893000.000000
4500000002,389000.000000
4625000002,812000.000000
4750000002,730000.000000
4875000002,803000.000000
5000000002,796000.000000
5125000002,699000.000000
5250000002,781000.000000
5375000002,688000.000000
5500000002,714000.000000
5625000002,814000.000000
5750000002,687000.000000
5875000002,824000.000000
6000000002,661000.000000
6125000002,630000.000000
6250000002,782000.000000
6375000002,652000.000000
6500000002,731000.000000
6625000002,859000.000000
6750000002,775000.000000
6875000002,791000.000000
7000000002,746000.000000
7125000002,794000.000000
7250000002,829000.000000
7375000002,634000.000000
7500000002,739000.000000
7625000002,621000.000000
7750000002,878000.000000
7875000002,834000.000000
8000000002,780000.000000
8125000002,737000.000000
8250000002,724000.000000
8375000002,741000.000000
8500000002,804000.000000
8625000002,761000.000000
8750000002,764000.000000
8875000002,662000.000000
9000000002,778000.000000
9125000002,812000.000000
9250000002,668000.000000
9375000002,952000.000000
9500000002,735000.000000
9625000002,670000.000000
9750000002,774000.000000
9875000002,700000.000000
10000000002,787000.000000
10125000002,761000.000000
10250000002,743000.000000
10375000002,813000.000000
10500000002,709000.000000
10625000002,752000.000000
10750000002,845000.000000
10875000002,825000.000000
11000000002,772000.000000
11125000002,763000.000000
11250000002,750000.000000
11375000002,654000.000000
11500000002,724000.000000
11625000002,797000.000000
11750000002,659000.000000
11875000002,793000.000000
12000000002,894000.000000
12125000002,686000.000000
12250000002,741000.000000
12375000002,672000.000000
2,624000.000000
125000002,730000.000000
250000002,797000.000000
375000002,687000.000000
500000002,789000.000000
625000002,701000.000000
750000002,756000.000000
875000002,924000.000000
1000000002,698000.000000
1125000002,809000.000000
1250000002,683000.000000
1375000002,733000.000000
1500000002,754000.000000
1625000002,775000.000000
1750000002,786000.000000
1875000002,829000.000000
2000000002,719000.000000
2125000002,750000.000000
2250000002,717000.000000
2375000002,474000.000000
2500000002,818000.000000
2625000002,445000.000000
2750000002,774000.000000
2875000002,650000.000000
3000000002,859000.000000
3125000002,792000.000000
3250000002,657000.000000
3375000002,823000.000000
3500000002,629000.000000
3625000002,721000.000000
3750000002,805000.000000
3875000002,871000.000000
4000000002,856000.000000
4125000002,742000.000000
4250000002,726000.000000
4375000002,782000.000000
4500000002,800000.000000
4625000002,741000.000000
4750000002,781000.000000
4875000002,839000.000000
5000000002,882000.000000
5125000002,685000.000000
5250000002,766000.000000
5375000002,694000.000000
5500000002,845000.000000
5625000002,858000.000000
5750000002,734000.000000
5875000002,815000.000000
6000000002,718000.000000
6125000002,727000.000000
6250000002,848000.000000
6375000002,700000.000000
6500000002,720000.000000
6625000002,850000.000000
6750000002,798000.000000
6875000002,840000.000000
7000000002,773000.000000
7125000002,759000.000000
7250000002,924000.000000
7375000002,775000.000000
7500000002,601000.000000
7625000002,702000.000000
7750000002,987000.000000
7875000002,913000.000000
8000000002,774000.000000
8125000002,569000.000000
8250000002,686000.000000
8375000002,783000.000000
8500000002,831000.000000
8625000002,701000.000000
8750000002,785000.000000
8875000002,844000.000000
9000000002,769000.000000
9125000002,835000.000000
9250000002,578000.000000
9375000002,731000.000000
9500000002,714000.000000
9625000002,743000.000000
9750000002,799000.000000
9875000002,695000.000000
10000000002,825000.000000
10125000002,699000.000000
10250000002,731000.000000
10375000002,776000.000000
10500000002,856000.000000
10625000002,764000.000000
10750000002,884000.000000
10875000002,698000.000000
11000000002,768000.000000
11125000002,684000.000000
11250000002,841000.000000
11375000002,828000.000000
11500000002,695000.000000
11625000002,837000.000000
11750000002,745000.000000
11875000002,775000.000000
12000000002,798000.000000
12125000002,714000.000000
12250000002,821000.000000
12375000002,619000.000000
2,577000.000000
125000002,734000.000000
250000002,845000.000000
375000002,679000.000000
500000002,747000.000000
625000002,724000.000000
750000002,889000.000000
875000002,823000.000000
1000000002,733000.000000
1125000002,769000.000000
1250000002,621000.000000
1375000002,712000.000000
1500000002,731000.000000
1625000002,692000.000000
1750000002,764000.000000
1875000002,853000.000000
2000000002,736000.000000
2125000002,707000.000000
2250000002,699000.000000
2375000002,978000.000000
2500000002,874000.000000
2625000002,798000.000000
2750000002,768000.000000
2875000002,656000.000000
3000000002,829000.000000
3125000002,815000.000000
3250000002,728000.000000
3375000002,809000.000000
3500000002,717000.000000
3625000002,739000.000000
3750000002,830000.000000
3875000002,747000.000000
4000000002,780000.000000
4125000002,674000.000000
4250000002,734000.000000
4375000002,863000.000000
4500000002,707000.000000
4625000002,788000.000000
4750000002,660000.000000
4875000002,755000.000000
5000000002,768000.000000
5125000002,16997000.000000
5250000002,1042000.000000
5375000002,689000.000000
5500000002,768000.000000
5625000002,947000.000000
5750000002,689000.000000
5875000002,754000.000000
6000000002,689000.000000
6125000002,713000.000000
6250000002,852000.000000
6375000002,628000.000000
6500000002,768000.000000
6625000002,829000.000000
6750000002,825000.000000
6875000002,1029000.000000
7000000002,662000.000000
7125000002,791000.000000
7250000002,737000.000000
7375000002,763000.000000
7500000002,751000.000000
7625000002,695000.000000
7750000002,718000.000000
7875000002,777000.000000
8000000002,527000.000000
8125000002,852000.000000
8250000002,672000.000000
8375000002,800000.000000
8500000002,868000.000000
8625000002,726000.000000
8750000002,734000.000000
8875000002,702000.000000
9000000002,785000.000000
9125000002,814000.000000
9250000002,689000.000000
9375000002,705000.000000
9500000002,818000.000000
9625000002,696000.000000
9750000002,765000.000000
9875000002,718000.000000
10000000002,811000.000000
10125000002,765000.000000
10250000002,737000.000000
10375000002,856000.000000
10500000002,800000.000000
10625000002,846000.000000
10750000002,820000.000000
10875000002,783000.000000
11000000002,741000.000000
11125000002,681000.000000
11250000002,750000.000000
11375000002,803000.000000
11500000002,702000.000000
11625000002,941000.000000
11750000002,682000.000000
11875000002,904000.000000
12000000002,928000.000000
12125000002,1043000.000000
12250000002,742000.000000
12375000002,676000.000000
2,694000.000000
125000002,824000.000000
250000002,866000.000000
375000002,830000.000000
500000002,734000.000000
625000002,662000.000000
750000002,693000.000000
875000002,849000.000000
1000000002,748000.000000
1125000002,808000.000000
1250000002,700000.000000
1375000002,757000.000000
1500000002,803000.000000
1625000002,687000.000000
1750000002,762000.000000
1875000002,823000.000000
2000000002,765000.000000
2125000002,818000.000000
2250000002,669000.000000
2375000002,857000.000000
2500000002,826000.000000
2625000002,782000.000000
2750000002,807000.000000
2875000002,650000.000000
3000000002,768000.000000
3125000002,870000.000000
3250000002,711000.000000
3375000002,710000.000000
3500000002,732000.000000
3625000002,743000.000000
3750000002,790000.000000
3875000002,683000.000000
4000000002,785000.000000
4125000002,671000.000000
4250000002,720000.000000
4375000002,796000.000000
4500000002,719000.000000
4625000002,715000.000000
4750000002,734000.000000
4875000002,682000.000000
5000000002,766000.000000
5125000002,662000.000000
5250000002,749000.000000
5375000002,670000.000000
5500000002,661000.000000
5625000002,716000.000000
5750000002,776000.000000
5875000002,796000.000000
6000000002,664000.000000
6125000002,743000.000000
6250000002,858000.000000
6375000002,735000.000000
6500000002,746000.000000
6625000002,841000.000000
6750000002,735000.000000
6875000002,745000.000000
7000000002,642000.000000
7125000002,713000.000000
7250000002,944000.000000
7375000002,697000.000000
7500000002,788000.000000
7625000002,695000.000000
7750000002,765000.000000
7875000002,797000.000000
8000000002,839000.000000
8125000002,804000.000000
8250000002,717000.000000
8375000002,731000.000000
8500000002,917000.000000
8625000002,701000.000000
8750000002,742000.000000
8875000002,679000.000000
9000000002,694000.000000
9125000002,783000.000000
9250000002,770000.000000
9375000002,770000.000000
9500000002,769000.000000
9625000002,774000.000000
9750000002,535000.000000
9875000002,660000.000000
10000000002,700000.000000
10125000002,776000.000000
10250000002,691000.000000
10375000002,806000.000000
10500000002,729000.000000
10625000002,742000.000000
10750000002,645000.000000
10875000002,789000.000000
11000000002,759000.000000
11125000002,642000.000000
11250000002,725000.000000
11375000002,818000.000000
11500000002,721000.000000
11625000002,830000.000000
11750000002,740000.000000
11875000002,740000.000000
12000000002,793000.000000
12125000002,723000.000000
12250000002,774000.000000
12375000002,679000.000000
2,606000.000000
125000002,755000.000000
250000002,463000.000000
375000002,734000.000000
500000002,677000.000000
625000002,659000.000000
750000002,852000.000000
875000002,800000.000000
1000000002,737000.000000
1125000002,749000.000000
1250000002,656000.000000
1375000002,991000.000000
1500000002,773000.000000
1625000002,706000.000000
1750000002,848000.000000
1875000002,955000.000000
2000000002,812000.000000
2125000002,886000.000000
2250000002,801000.000000
2375000002,830000.000000
2500000002,874000.000000
2625000002,705000.000000
2750000002,873000.000000
2875000002,671000.000000
3000000002,767000.000000
3125000002,885000.000000
3250000002,627000.000000
3375000002,730000.000000
3500000002,618000.000000
3625000002,758000.000000
3750000002,866000.000000
3875000002,737000.000000
4000000002,828000.000000
4125000002,707000.000000
4250000002,755000.000000
4375000002,827000.000000
4500000002,756000.000000
4625000002,954000.000000
4750000002,759000.000000
4875000002,751000.000000
5000000002,773000.000000
5125000002,673000.000000
5250000002,773000.000000
5375000002,740000.000000
5500000002,789000.000000
5625000002,1076000.000000
5750000002,733000.000000
5875000002,739000.000000
6000000002,709000.000000
6125000002,768000.000000
6250000002,953000.000000
6375000002,752000.000000
6500000002,763000.000000
6625000002,806000.000000
6750000002,860000.000000
6875000002,764000.000000
7000000002,674000.000000
7125000002,835000.000000
7250000002,874000.000000
7375000002,744000.000000
7500000002,800000.000000
7625000002,860000.000000
7750000002,734000.000000
7875000002,845000.000000
8000000002,707000.000000
8125000002,796000.000000
8250000002,696000.000000
8375000002,696000.000000
8500000002,854000.000000
8625000002,681000.000000
8750000002,749000.000000
8875000002,653000.000000
9000000002,735000.000000
9125000002,833000.000000
9250000002,704000.000000
9375000002,621000.000000
9500000002,698000.000000
9625000002,709000.000000
9750000002,784000.000000
9875000002,729000.000000
10000000002,552000.000000
10125000002,726000.000000
10250000002,790000.000000
10375000002,749000.000000
10500000002,746000.000000
10625000002,760000.000000
10750000002,882000.000000
10875000002,708000.000000
11000000002,860000.000000
11125000002,681000.000000
11250000002,706000.000000
11375000002,807000.000000
11500000002,709000.000000
11625000002,779000.000000
11750000002,655000.000000
11875000002,746000.000000
12000000002,840000.000000
12125000002,746000.000000
12250000002,689000.000000
12375000002,695000.000000
2,605000.000000
125000002,719000.000000
250000002,825000.000000
375000002,788000.000000
500000002,657000.000000
625000002,716000.000000
750000002,726000.000000
875000002,823000.000000
1000000002,783000.000000
1125000002,827000.000000
1250000002,679000.000000
1375000002,796000.000000
1500000002,814000.000000
1625000002,688000.000000
1750000002,742000.000000
1875000002,842000.000000
2000000002,837000.000000
2125000002,828000.000000
2250000002,756000.000000
2375000002,630000.000000
2500000002,776000.000000
2625000002,790000.000000
2750000002,780000.000000
2875000002,602000.000000
3000000002,709000.000000
3125000002,982000.000000
3250000002,708000.000000
3375000002,796000.000000
3500000002,680000.000000
3625000002,753000.000000
3750000002,826000.000000
3875000002,421000.000000
4000000002,727000.000000
4125000002,640000.000000
4250000002,748000.000000
4375000002,763000.000000
4500000002,694000.000000
4625000002,754000.000000
4750000002,834000.000000
4875000002,700000.000000
5000000002,809000.000000
5125000002,823000.000000
5250000002,826000.000000
5375000002,730000.000000
5500000002,619000.000000
5625000002,822000.000000
5750000002,657000.000000
5875000002,747000.000000
6000000002,724000.000000
6125000002,715000.000000
6250000002,825000.000000
6375000002,723000.000000
6500000002,819000.000000
6625000002,861000.000000
6750000002,703000.000000
6875000002,788000.000000
7000000002,597000.000000
7125000002,690000.000000
7250000002,866000.000000
7375000002,774000.000000
7500000002,760000.000000
7625000002,691000.000000
7750000002,712000.000000
7875000002,839000.000000
8000000002,714000.000000
8125000002,766000.000000
8250000002,608000.000000
8375000002,730000.000000
8500000002,786000.000000
8625000002,776000.000000
8750000002,771000.000000
8875000002,760000.000000
9000000002,730000.000000
9125000002,829000.000000
9250000002,656000.000000
9375000002,743000.000000
9500000002,686000.000000
9625000002,750000.000000
9750000002,824000.000000
9875000002,770000.000000
10000000002,780000.000000
10125000002,679000.000000
10250000002,821000.000000
10375000002,788000.000000
10500000002,721000.000000
10625000002,468000.000000
10750000002,832000.000000
10875000002,729000.000000
11000000002,871000.000000
11125000002,657000.000000
11250000002,702000.000000
11375000002,844000.000000
11500000002,732000.000000
11625000002,805000.000000
11750000002,549000.000000
11875000002,950000.000000
12000000002,795000.000000
12125000002,744000.000000
12250000002,784000.000000
12375000002,694000.000000
2,687000.000000
125000002,756000.000000
250000002,792000.000000
375000002,675000.000000
500000002,825000.000000
625000002,642000.000000
750000002,737000.000000
875000002,719000.000000
1000000002,717000.000000
1125000002,837000.000000
1250000002,695000.000000
1375000002,736000.000000
1500000002,740000.000000
1625000002,777000.000000
1750000002,813000.000000
1875000002,844000.000000
2000000002,684000.000000
2125000002,820000.000000
2250000002,719000.000000
2375000002,730000.000000
2500000002,800000.000000
2625000002,858000.000000
2750000002,771000.000000
2875000002,715000.000000
3000000002,934000.000000
3125000002,806000.000000
3250000002,677000.000000
3375000002,746000.000000
3500000002,661000.000000
3625000002,794000.000000
3750000002,882000.000000
3875000002,708000.000000
4000000002,827000.000000
4125000002,703000.000000
4250000002,789000.000000
4375000002,876000.000000
4500000002,744000.000000
4625000002,808000.000000
4750000002,625000.000000
4875000002,776000.000000
5000000002,736000.000000
5125000002,714000.000000
5250000002,814000.000000
5375000002,732000.000000
5500000002,729000.000000
5625000002,811000.000000
5750000002,715000.000000
5875000002,742000.000000
6000000002,712000.000000
6125000002,714000.000000
6250000002,832000.000000
6375000002,740000.000000
6500000002,796000.000000
6625000002,869000.000000
6750000002,644000.000000
6875000002,761000.000000
7000000002,734000.000000
7125000002,773000.000000
7250000002,832000.000000
7375000002,679000.000000
7500000002,816000.000000
7625000002,745000.000000
7750000002,707000.000000
7875000002,847000.000000
8000000002,408000.000000
8125000002,775000.000000
8250000002,654000.000000
8375000002,792000.000000
8500000002,723000.000000
8625000002,800000.000000
8750000002,816000.000000
8875000002,701000.000000
9000000002,698000.000000
9125000002,892000.000000
9250000002,674000.000000
9375000002,733000.000000
9500000002,704000.000000
9625000002,675000.000000
9750000002,838000.000000
9875000002,678000.000000
10000000002,732000.000000
10125000002,732000.000000
10250000002,741000.000000
10375000002,745000.000000
10500000002,696000.000000
10625000002,744000.000000
10750000002,840000.000000
10875000002,762000.000000
11000000002,792000.000000
11125000002,708000.000000
11250000002,683000.000000
11375000002,949000.000000
11500000002,668000.000000
11625000002,714000.000000
11750000002,588000.000000
11875000002,771000.000000
12000000002,878000.000000
12125000002,784000.000000
12250000002,714000.000000
12375000002,594000.000000
2,619000.000000
125000002,689000.000000
250000002,734000.000000
375000002,701000.000000
500000002,799000.000000
625000002,622000.000000
750000002,756000.000000
875000002,734000.000000
1000000002,426000.000000
1125000002,799000.000000
1250000002,675000.000000
1375000002,727000.000000
1500000002,905000.000000
1625000002,653000.000000
1750000002,766000.000000
1875000002,876000.000000
2000000002,719000.000000
2125000002,759000.000000
2250000002,627000.000000
2375000002,776000.000000
2500000002,807000.000000
2625000002,768000.000000
2750000002,698000.000000
2875000002,638000.000000
3000000002,842000.000000
3125000002,868000.000000
3250000002,576000.000000
3375000002,600000.000000
3500000002,693000.000000
3625000002,745000.000000
3750000002,856000.000000
3875000002,810000.000000
4000000002,785000.000000
4125000002,773000.000000
4250000002,726000.000000
4375000002,797000.000000
4500000002,693000.000000
4625000002,742000.000000
4750000002,643000.000000
4875000002,860000.000000
5000000002,915000.000000
5125000002,700000.000000
5250000002,743000.000000
5375000002,740000.000000
5500000002,887000.000000
5625000002,843000.000000
5750000002,687000.000000
5875000002,729000.000000
6000000002,762000.000000
6125000002,713000.000000
6250000002,796000.000000
6375000002,703000.000000
6500000002,794000.000000
6625000002,822000.000000
6750000002,677000.000000
6875000002,765000.000000
7000000002,410000.000000
7125000002,722000.000000
7250000002,818000.000000
7375000002,740000.000000
7500000002,929000.000000
7625000002,689000.000000
7750000002,757000.000000
7875000002,915000.000000
8000000002,736000.000000
8125000002,849000.000000
8250000002,694000.000000
8375000002,737000.000000
8500000002,839000.000000
8625000002,812000.000000
8750000002,823000.000000
8875000002,703000.000000
9000000002,724000.000000
9125000002,895000.000000
9250000002,645000.000000
9375000002,782000.000000
9500000002,584000.000000
9625000002,690000.000000
9750000002,976000.000000
9875000002,736000.000000
10000000002,786000.000000
10125000002,644000.000000
10250000002,738000.000000
10375000002,824000.000000
10500000002,684000.000000
10625000002,467000.000000
10750000002,960000.000000
10875000002,785000.000000
11000000002,831000.000000
11125000002,607000.000000
11250000002,780000.000000
11375000002,840000.000000
11500000002,733000.000000
11625000002,908000.000000
11750000002,782000.000000
11875000002,770000.000000
12000000002,937000.000000
12125000002,771000.000000
12250000002,467000.000000
12375000002,705000.000000
2,646000.000000
125000002,832000.000000
250000002,803000.000000
375000002,762000.000000
500000002,765000.000000
625000002,658000.000000
750000002,758000.000000
875000002,810000.000000
1000000002,684000.000000
1125000002,778000.000000
1250000002,701000.000000
1375000002,782000.000000
1500000002,712000.000000
1625000002,746000.000000
1750000002,835000.000000
1875000002,889000.000000
2000000002,735000.000000
2125000002,835000.000000
2250000002,664000.000000
2375000002,739000.000000
2500000002,808000.000000
2625000002,669000.000000
2750000002,754000.000000
2875000002,745000.000000
3000000002,734000.000000
3125000002,827000.000000
3250000002,678000.000000
3375000002,823000.000000
3500000002,671000.000000
3625000002,732000.000000
3750000002,869000.000000
3875000002,768000.000000
4000000002,824000.000000
4125000002,600000.000000
4250000002,682000.000000
4375000002,832000.000000
4500000002,717000.000000
4625000002,718000.000000
4750000002,686000.000000
4875000002,731000.000000
5000000002,870000.000000
5125000002,706000.000000
5250000002,802000.000000
5375000002,657000.000000
5500000002,769000.000000
5625000002,822000.000000
5750000002,820000.000000
5875000002,765000.000000
6000000002,807000.000000
6125000002,729000.000000
6250000002,793000.000000
6375000002,642000.000000
6500000002,752000.000000
6625000002,909000.000000
6750000002,636000.000000
6875000002,814000.000000
7000000002,643000.000000
7125000002,825000.000000
7250000002,797000.000000
7375000002,694000.000000
7500000002,844000.000000
7625000002,780000.000000
7750000002,752000.000000
7875000002,759000.000000
8000000002,705000.000000
8125000002,732000.000000
8250000002,425000.000000
8375000002,753000.000000
8500000002,800000.000000
8625000002,712000.000000
8750000002,808000.000000
8875000002,664000.000000
9000000002,816000.000000
9125000002,583000.000000
9250000002,671000.000000
9375000002,786000.000000
9500000002,683000.000000
9625000002,747000.000000
9750000002,938000.000000
9875000002,746000.000000
10000000002,748000.000000
10125000002,744000.000000
10250000002,773000.000000
10375000002,850000.000000
10500000002,750000.000000
10625000002,718000.000000
10750000002,843000.000000
10875000002,748000.000000
11000000002,954000.000000
11125000002,510000.000000
11250000002,751000.000000
11375000002,846000.000000
11500000002,629000.000000
11625000002,850000.000000
11750000002,698000.000000
11875000002,783000.000000
12000000002,835000.000000
12125000002,771000.000000
12250000002,787000.000000
12375000002,791000.000000
2,687000.000000
125000002,765000.000000
250000002,803000.000000
375000002,679000.000000
500000002,832000.000000
625000002,588000.000000
750000002,737000.000000
875000002,1050000.000000
1000000002,754000.000000
1125000002,773000.000000
1250000002,687000.000000
1375000002,744000.000000
1500000002,831000.000000
1625000002,674000.000000
1750000002,721000.000000
1875000002,899000.000000
2000000002,718000.000000
2125000002,786000.000000
2250000002,667000.000000
2375000002,719000.000000
2500000002,948000.000000
2625000002,694000.000000
2750000002,745000.000000
2875000002,627000.000000
3000000002,798000.000000
3125000002,830000.000000
3250000002,670000.000000
3375000002,795000.000000
3500000002,651000.000000
3625000002,770000.000000
3750000002,797000.000000
3875000002,678000.000000
4000000002,756000.000000
4125000002,770000.000000
4250000002,985000.000000
4375000002,768000.000000
4500000002,722000.000000
4625000002,736000.000000
4750000002,682000.000000
4875000002,767000.000000
5000000002,809000.000000
5125000002,785000.000000
5250000002,757000.000000
5375000002,667000.000000
5500000002,704000.000000
5625000002,752000.000000
5750000002,738000.000000
5875000002,836000.000000
6000000002,690000.000000
6125000002,798000.000000
6250000002,893000.000000
6375000002,688000.000000
6500000002,763000.000000
6625000002,783000.000000
6750000002,701000.000000
6875000002,833000.000000
7000000002,672000.000000
7125000002,661000.000000
7250000002,821000.000000
7375000002,701000.000000
7500000002,759000.000000
7625000002,668000.000000
7750000002,730000.000000
7875000002,880000.000000
8000000002,679000.000000
8125000002,805000.000000
8250000002,584000.000000
8375000002,820000.000000
8500000002,817000.000000
8625000002,763000.000000
8750000002,813000.000000
8875000002,726000.000000
9000000002,785000.000000
9125000002,823000.000000
