git_hash=8557d56,max_arr_sz=10000000000
n,duration_ns
2,577536.000000
2,529408.000000
2,583680.000000
2,518144.000000
2,527360.000000
2,544768.000000
2,529408.000000
2,531456.000000
2,558080.000000
2,534528.000000
2,552960.000000
2,558080.000000
2,532480.000000
2,548864.000000
2,530432.000000
2,516096.000000
2,527360.000000
2,488448.000000
2,521215.968750
2,589824.000000
2,571392.000000
2,613376.000000
2,526336.000000
2,572416.000000
2,513023.968750
2,702464.000000
2,509952.000000
2,526336.000000
2,525312.000000
2,575488.000000
100000002,609280.000000
100000002,607232.000000
100000002,589824.000000
100000002,601088.000000
100000002,610304.000000
100000002,566272.000000
100000002,590848.000000
100000002,585728.000000
100000002,583680.000000
100000002,618496.000000
100000002,871424.000000
100000002,594944.000000
100000002,559104.000000
100000002,626688.000000
100000002,594944.000000
100000002,595968.000000
100000002,570368.000000
100000002,608256.000000
100000002,687104.000000
100000002,576512.000000
100000002,609280.000000
100000002,586752.000000
100000002,582656.000000
100000002,1124352.000000
100000002,583680.000000
100000002,587776.000000
100000002,691200.000000
100000002,581632.000000
100000002,573440.000000
100000002,602112.000000
200000002,605184.000000
200000002,587776.000000
200000002,534528.000000
200000002,578560.000000
200000002,584704.000000
200000002,553984.000000
200000002,564224.000000
200000002,548864.000000
200000002,547840.000000
200000002,552960.000000
200000002,631808.000000
200000002,582656.000000
200000002,606208.000000
200000002,561152.000000
200000002,563200.000000
200000002,540672.000000
200000002,569344.000000
200000002,542720.000000
200000002,610304.000000
200000002,581632.000000
200000002,560128.000000
200000002,565248.000000
200000002,614400.000000
200000002,606208.000000
200000002,589824.000000
200000002,826368.000000
200000002,546816.000000
200000002,546816.000000
200000002,562176.000000
200000002,551936.000000
300000002,582656.000000
300000002,579584.000000
300000002,617472.000000
300000002,626688.000000
300000002,602112.000000
300000002,586752.000000
300000002,618496.000000
300000002,571392.000000
300000002,589824.000000
300000002,615424.000000
300000002,660480.000000
300000002,566272.000000
300000002,595968.000000
300000002,607232.000000
300000002,566272.000000
300000002,602112.000000
300000002,598016.000000
300000002,560128.000000
300000002,545792.000000
300000002,817152.000000
300000002,591872.000000
300000002,590848.000000
300000002,636928.000000
300000002,754688.000000
300000002,564224.000000
300000002,604160.000000
300000002,765952.000000
300000002,581632.000000
300000002,582656.000000
300000002,563200.000000
400000002,540672.000000
400000002,549888.000000
400000002,603136.000000
400000002,561152.000000
400000002,604160.000000
400000002,632832.000000
400000002,559104.000000
400000002,532480.000000
400000002,560128.000000
400000002,573440.000000
400000002,562176.000000
400000002,556032.000000
400000002,575488.000000
400000002,563200.000000
400000002,568320.000000
400000002,589824.000000
400000002,898048.000000
400000002,578560.000000
400000002,569344.000000
400000002,568320.000000
400000002,552960.000000
400000002,590848.000000
400000002,584704.000000
400000002,595968.000000
400000002,569344.000000
400000002,575488.000000
400000002,687104.000000
400000002,749568.000000
400000002,564224.000000
400000002,564224.000000
500000002,596992.000000
500000002,576512.000000
500000002,646144.000000
500000002,630784.000000
500000002,586752.000000
500000002,709632.000000
500000002,580608.000000
500000002,612352.000000
500000002,587776.000000
500000002,627712.000000
500000002,595968.000000
500000002,564224.000000
500000002,568320.000000
500000002,569344.000000
500000002,621568.000000
500000002,573440.000000
500000002,587776.000000
500000002,573440.000000
500000002,905216.000000
500000002,535552.000000
500000002,582656.000000
500000002,701440.000000
500000002,569344.000000
500000002,594944.000000
500000002,627712.000000
500000002,595968.000000
500000002,591872.000000
500000002,568320.000000
500000002,608256.000000
500000002,568320.000000
600000002,626688.000000
600000002,578560.000000
600000002,568320.000000
600000002,576512.000000
600000002,586752.000000
